Trial #,Slope,Sediment Type,Rock ID,"Rock Dimensions (L x W x H, mm)",% Change in Cyano,Absolute.Cyano.Removal,% Change in Green,% Change in Diatom,Absolute.Diatom.Removal,% Change  in High Impact  Mat Thickness,Absolute.High.Mat.Removal,% Change  in Low Impact  Mat Thickness,Absolute.Low.Mat.Removal
1,High,None,R01_T01,160 x 100 x 47,-75.45582048,1.793333333,0,-90.21827001,11.16,-90,9,-12.5,1
1,High,None,R02_T01,190 x 110 x 65,-50.80645161,0.84,0,-83.62849272,7.083333333,-66.66666667,2,-40,2
1,High,None,R03_T01,140 x 110 x 65,-52.22222222,0.783333333,0,-75.90673575,5.86,-33.33333333,1,-87.5,7
1,High,None,R04_T01,160 x 115 x 45,-71.32486388,1.31,0,-94.28861102,9.3,-100,11,-80,4
1,High,None,R05_T01,170 x 100 x 35,-45.65701559,0.683333333,0,-70.39757995,5.43,-91.66666667,11,-54.54545455,6
2,Medium,None,R01_T02,160 x 120 x 88,-57.96064401,1.08,0,-75.61361837,6.366666667,-57.14285714,4,-63.63636364,7
2,Medium,None,R02_T02,160 x 120 x 70,-62.83309958,1.493333333,0,-75.78947368,7.68,-10,1,-42.85714286,6
2,Medium,None,R03_T02,165 x 135 x 80,-46.80851064,0.733333333,0,-73.80388441,5.193333333,-66.66666667,4,-71.42857143,10
2,Medium,None,R04_T02,140 x 115  95,-50.60483871,0.836666667,0,-79.87012987,6.15,-77.77777778,14,-45.45454545,5
2,Medium,None,R05_T02,150 x 145 x 75,-55.8490566,0.986666667,0,-67.30612245,5.496666667,-50,5,-25,4
3,Low,None,R01_T03,145 x 150 x 65,-40.68767908,0.473333333,,-78.31253714,4.393333333,-50,5,-68.75,11
3,Low,None,R02_T03,155 x 145 x 45,-57.57575758,1.013333333,0,-63.27433628,4.766666667,-33.33333333,2,-31.25,5
3,Low,None,R03_T03,125 x 95 x 70,-31.29496403,0.29,0,-67.46411483,2.82,-33.33333333,2,-20,2
3,Low,None,R04_T03,175 x 120 x 70,-43.16109422,0.473333333,,-51.36986301,2.5,-22.22222222,2,-21.42857143,3
3,Low,None,R05_T03,145 x 130 x 45,-57.8313253,0.96,,-76.99018539,7.06,-40,4,-30.76923077,4
4,High,Sand,R01_T04,155 x 110 x 75,-53.94402036,0.706666667,0,-68.18637275,4.536666667,-44.44444444,4,-33.33333333,1
4,High,Sand,R02_T04,190 x 120 x 100,-55.77557756,1.126666667,0,-73.08911589,6.916666667,-66.66666667,10,-78.57142857,11
4,High,Sand,R03_T04,210 x 150 x 60,-63.40425532,0.993333333,0,-74.15682968,5.863333333,-70.58823529,12,-15.38461538,2
4,High,Sand,R04_T04,200 x 105 x 100,-57.08884688,1.006666667,0,-75.62396007,6.06,-61.53846154,8,-53.33333333,8
4,High,Sand,R05_T04,180. 140 x 95,-34.55882353,0.313333333,1525,-41.0472973,0.81,-55.55555556,5,-11.11111111,1
5,Medium,Sand,R01_T05,170 x 125 x 95,-36.8115942,0.423333333,0,-49.5412844,2.7,-50,3,-44.44444444,4
5,Medium,Sand,R02_T05,165 x 140 x 115,-52.82051282,0.686666667,0,-78.52459016,4.79,-60,6,-36.36363636,4
5,Medium,Sand,R03_T05,187 x 140 x 100,-54.86725664,0.413333333,,-69.64933495,1.92,-50,5,-16.66666667,1
5,Medium,Sand,R04_T05,165 x 160 x 65,-53.33333333,0.533333333,-91.11111111,-53.40909091,1.096666667,0,0,0,0
5,Medium,Sand,R05_T05,150 x 145 x 85,-49.19678715,0.816666667,0,-60.38124678,3.906666667,-66.66666667,12,0,0
6,Low,Sand,R01_T06,190 x 135 x 60,-34.082397,0.303333333,0,-54.81758653,1.953333333,-90,9,-81.25,13
6,Low,Sand,R02_T06,160 x 145 x 55,-66.96428571,1,0,-88.57142857,7.13,-64.70588235,11,-40,4
6,Low,Sand,R03_T06,150 x165 x 70,-20.41884817,0.13,0,-60.46511628,1.906666667,-40,4,0,0
6,Low,Sand,R04_T06,160 x 100 x 50,-67.13091922,0.803333333,0,-75.71785268,4.043333333,0,0,-16.66666667,1
6,Low,Sand,R05_T06,255 x 160 x 100,-45.94594595,0.453333333,0,-44.12811388,2.066666667,-35.71428571,5,-18.18181818,2
7,High,Gravel,R01_T07,115 x 130 x 70,-69.65174129,1.866666667,0,-91.07202124,9.146666667,-100,20,-63.15789474,12
7,High,Gravel,R02_T07,155 x 150 x 65,-42.27129338,0.446666667,0,-82.95218295,3.99,-85,17,-33.33333333,4
7,High,Gravel,R03_T07,150 x 135 x 60,-8,0.086666667,0,-52.5017135,2.553333333,-84.21052632,16,-81.25,13
7,High,Gravel,R04_T07,180 x 130 x 100,-11,0.073333333,0,-31.93657984,0.94,-94.44444444,17,-44.44444444,4
7,High,Gravel,R05_T07,210 x 90 x 105,-65.71428571,1.61,0,-87.81021898,8.02,-97.91666667,23.5,-84.61538462,11
8,Medium,Gravel,R01_T08,125 x 175 x 80,-38.44537815,0.61,0,-70.85399449,4.286666667,-30.76923077,4,-64.28571429,9
8,Medium,Gravel,R02_T08,185 x 145 x 50,-7.986111111,0.076666667,0,-85.80786026,3.93,-80,8,-78.57142857,11
8,Medium,Gravel,R03_T08,180 x 140 x 70,-6.140350877,0.07,0,-40.16578749,1.776666667,-58.33333333,7,-55.55555556,5
8,Medium,Gravel,R04_T08,175 x 145 x 60,-16.11570248,0.13,0,-67.31843575,2.41,-95.45454545,10.5,-66.66666667,4
8,Medium,Gravel,R05_T08,185 x 190 x 100,-34.21750663,0.43,0,-85.83599574,5.373333333,-68.75,11,-64.28571429,9
